expert_original,simple_original,e_to_s,restored_telugu,direct_telugu,lay_telugu,restored_hindi,direct_hindi,lay_hindi
"Paediatricians handle most complaints and diseases in children that do not require surgery, and there are several subspecialties (formally or informally) in paediatrics that mimic the organ-based specialties in adults.","`` Surgery '' refers to the practice of operative medicine, and most subspecialties in this area require preliminary training in `` General Surgery. ''","""Pediatricians take care of common childhood illnesses that don't need surgery. There are different areas within pediatrics that deal with things similar to how doctors in other adulthood fields work.""",శిశువైద్యులు శస్త్రచికిత్స అవసరం లేని పిల్లలలో చాలా ఫిర్యాదులు మరియు వ్యాధులను నిర్వహిస్తారు మరియు పెద్దలలో అవయవ-ఆధారిత ప్రత్యేకతలను అనుకరించే అనేక ఉపవిభాగాలు (అధికారికంగా లేదా అనధికారికంగా) పీడియాట్రిక్స్‌లో ఉన్నాయి.,`` సర్జరీ '' అనేది ఆపరేటివ్ మెడిసిన్ అభ్యాసాన్ని సూచిస్తుంది మరియు ఈ ప్రాంతంలోని చాలా ఉపవిభాగాలకు `` జనరల్ సర్జరీలో ప్రాథమిక శిక్షణ అవసరం. '',"""శిశువైద్యులు శస్త్రచికిత్స అవసరం లేని సాధారణ బాల్య వ్యాధుల పట్ల శ్రద్ధ వహిస్తారు. ఇతర యుక్తవయస్సు రంగాలలో వైద్యులు ఎలా పని చేస్తారో అదే విధంగా వ్యవహరించే పీడియాట్రిక్స్‌లో వివిధ ప్రాంతాలు ఉన్నాయి.""","बाल रोग विशेषज्ञ बच्चों में अधिकांश शिकायतों और बीमारियों को संभालते हैं जिनके लिए सर्जरी की आवश्यकता नहीं होती है, और बाल चिकित्सा में कई उप-विशेषताएं (औपचारिक या अनौपचारिक रूप से) हैं जो वयस्कों में अंग-आधारित विशिष्टताओं की नकल करती हैं।","``सर्जरी'' ऑपरेटिव चिकित्सा के अभ्यास को संदर्भित करती है, और इस क्षेत्र में अधिकांश उप-विशिष्टताओं को ``सामान्य सर्जरी'' में प्रारंभिक प्रशिक्षण की आवश्यकता होती है। ''","""बाल रोग विशेषज्ञ सामान्य बचपन की बीमारियों का ध्यान रखते हैं जिनमें सर्जरी की आवश्यकता नहीं होती है। बाल चिकित्सा के भीतर अलग-अलग क्षेत्र हैं जो अन्य वयस्क क्षेत्रों में डॉक्टरों के काम करने के समान चीजों से निपटते हैं।"""
"His theory states that animals react to threats with a general discharge of the sympathetic nervous system, preparing the animal for fighting or fleeing.",He found that animals react to threats with a general discharge of the sympathetic nervous system.,"Animals may have a reaction to threats by having a general release of their sympathetic nervous system, which helps them prepare for fighting or running away.","అతని సిద్ధాంతం ప్రకారం జంతువులు సానుభూతి నాడీ వ్యవస్థ యొక్క సాధారణ ఉత్సర్గతో బెదిరింపులకు ప్రతిస్పందిస్తాయి, జంతువును పోరాడటానికి లేదా పారిపోవడానికి సిద్ధం చేస్తాయి.",సానుభూతి నాడీ వ్యవస్థ యొక్క సాధారణ ఉత్సర్గతో జంతువులు బెదిరింపులకు ప్రతిస్పందిస్తాయని అతను కనుగొన్నాడు.,"జంతువులు వారి సానుభూతి నాడీ వ్యవస్థ యొక్క సాధారణ విడుదలను కలిగి ఉండటం ద్వారా బెదిరింపులకు ప్రతిచర్యను కలిగి ఉండవచ్చు, ఇది పోరాడటానికి లేదా పారిపోవడానికి వాటిని సిద్ధం చేయడంలో సహాయపడుతుంది.","उनके सिद्धांत में कहा गया है कि जानवर सहानुभूति तंत्रिका तंत्र के सामान्य निर्वहन के साथ खतरों पर प्रतिक्रिया करते हैं, जिससे जानवर लड़ने या भागने के लिए तैयार हो जाते हैं।",उन्होंने पाया कि जानवर सहानुभूति तंत्रिका तंत्र के सामान्य निर्वहन के साथ खतरों पर प्रतिक्रिया करते हैं।,"जानवरों की सहानुभूति तंत्रिका तंत्र की सामान्य रिहाई से खतरों पर प्रतिक्रिया हो सकती है, जो उन्हें लड़ने या भागने के लिए तैयार करने में मदद करती है।"
Both gram-positive and gram-negative bacteria commonly have a surface layer called an S-layer.,"On the other hand, gram-negative bacteria have thin, insignificant peptidoglycan layers, so they do need rigid cell walls for support and protection.",Bacteria have an S-layer that is either positive or negative,గ్రామ్-పాజిటివ్ మరియు గ్రామ్-నెగటివ్ బ్యాక్టీరియా రెండూ సాధారణంగా S-లేయర్ అని పిలువబడే ఉపరితల పొరను కలిగి ఉంటాయి.,"మరోవైపు, గ్రామ్-నెగటివ్ బాక్టీరియా సన్నని, అతితక్కువ పెప్టిడోగ్లైకాన్ పొరలను కలిగి ఉంటుంది, కాబట్టి వాటికి మద్దతు మరియు రక్షణ కోసం దృఢమైన సెల్ గోడలు అవసరం.",బాక్టీరియా సానుకూలంగా లేదా ప్రతికూలంగా ఉండే S-పొరను కలిగి ఉంటుంది,ग्राम-पॉजिटिव और ग्राम-नेगेटिव दोनों बैक्टीरिया में आमतौर पर एक सतह परत होती है जिसे एस-लेयर कहा जाता है।,"दूसरी ओर, ग्राम-नेगेटिव बैक्टीरिया में पतली, नगण्य पेप्टिडोग्लाइकन परतें होती हैं, इसलिए उन्हें समर्थन और सुरक्षा के लिए कठोर कोशिका दीवारों की आवश्यकता होती है।",बैक्टीरिया में एक एस-परत होती है जो या तो सकारात्मक या नकारात्मक होती है
Certain medications like pirfenidone or nintedanib may slow the progression of the disease.,Treatment to slow down the progression of the disease may include nintedanib or pirfenidone.,Some drugs can help control the symptoms,నిర్దిష్ట medications pirfenidone లేదా nintedanib వ్యాధి యొక్క పురోగతి slow కావచ్చు.,వ్యాధి యొక్క పురోగతిని తగ్గించే చికిత్సలో నింటెడానిబ్ లేదా పిర్ఫెనిడోన్ ఉండవచ్చు.,కొన్ని మందులు లక్షణాలను నియంత్రించడంలో సహాయపడతాయి,कुछ medications जैसे pirfenidone या nintedanib रोग की प्रगति slow हो सकती है।,रोग की प्रगति को धीमा करने के लिए उपचार में निंटेडेनिब या पिरफेनिडोन शामिल हो सकते हैं।,कुछ दवाएं लक्षणों को नियंत्रित करने में मदद कर सकती हैं
"Such enameled ferrous material had, and still has, many applications: early 20th century and some modern advertising signs, interior oven walls, cooking pots, housing and interior walls of major kitchen appliances, housing and drums of clothes washers and dryers, sinks and tubs cast iron bathtubs, farm storage silos, and processing equipment such as chemical reactors and pharmaceutical process tanks.",Its use was extended in the 19th century for practical objects like kitchen equipment and road signs.,"Such enameled ferrous material had, and still has, many applications: early 20th century and some modern advertising signs, interior oven walls, cooking pots, housing and interior walls of major kitchen appliances, housing and drums of clothes washers and dryers, sinks and tubs cast iron bathtubs, farm storage silos, and processing equipment such as chemical reactors and pharmaceutical process tanks.","ఇటువంటి ఎనామెల్డ్ ఫెర్రస్ మెటీరియల్‌ను కలిగి ఉంది మరియు ఇప్పటికీ అనేక అప్లికేషన్లు ఉన్నాయి: 20వ శతాబ్దం ప్రారంభంలో మరియు కొన్ని ఆధునిక ప్రకటనల సంకేతాలు, ఇంటీరియర్ ఓవెన్ గోడలు, వంట కుండలు, ప్రధాన వంటగది ఉపకరణాల గృహాలు మరియు అంతర్గత గోడలు, బట్టలు ఉతికే యంత్రాలు మరియు డ్రైయర్‌ల గృహాలు మరియు డ్రమ్స్, సింక్‌లు మరియు టబ్‌లు కాస్ట్ ఇనుప స్నానపు తొట్టెలు, వ్యవసాయ నిల్వ గోతులు మరియు రసాయన ప్రాసెసింగ్ ట్యాంక్ వంటి రసాయన ప్రక్రియ పరికరాలు.",వంటగది పరికరాలు మరియు రహదారి చిహ్నాలు వంటి ఆచరణాత్మక వస్తువుల కోసం దీని ఉపయోగం 19వ శతాబ్దంలో విస్తరించబడింది.,"ఇటువంటి ఎనామెల్డ్ ఫెర్రస్ మెటీరియల్‌ను కలిగి ఉంది మరియు ఇప్పటికీ అనేక అప్లికేషన్లు ఉన్నాయి: 20వ శతాబ్దం ప్రారంభంలో మరియు కొన్ని ఆధునిక ప్రకటనల సంకేతాలు, ఇంటీరియర్ ఓవెన్ గోడలు, వంట కుండలు, ప్రధాన వంటగది ఉపకరణాల గృహాలు మరియు అంతర్గత గోడలు, బట్టలు ఉతికే యంత్రాలు మరియు డ్రైయర్‌ల గృహాలు మరియు డ్రమ్స్, సింక్‌లు మరియు టబ్‌లు కాస్ట్ ఇనుప స్నానపు తొట్టెలు, వ్యవసాయ నిల్వ గోతులు మరియు రసాయన ప్రాసెసింగ్ ట్యాంక్ వంటి రసాయన ప్రక్రియ పరికరాలు.","इस तरह के तामचीनी लौह सामग्री के कई अनुप्रयोग थे, और अभी भी हैं: 20 वीं सदी की शुरुआत और कुछ आधुनिक विज्ञापन संकेत, आंतरिक ओवन की दीवारें, खाना पकाने के बर्तन, प्रमुख रसोई उपकरणों के आवास और आंतरिक दीवारें, कपड़े धोने वाले और ड्रायर के आवास और ड्रम, सिंक और टब कच्चा लोहा बाथटब, फार्म भंडारण साइलो, और रासायनिक रिएक्टर और फार्मास्युटिकल प्रक्रिया टैंक जैसे प्रसंस्करण उपकरण।",इसका उपयोग 19वीं शताब्दी में रसोई उपकरण और सड़क संकेतों जैसी व्यावहारिक वस्तुओं के लिए बढ़ाया गया था।,"इस तरह के तामचीनी लौह सामग्री के कई अनुप्रयोग थे, और अभी भी हैं: 20 वीं सदी की शुरुआत और कुछ आधुनिक विज्ञापन संकेत, आंतरिक ओवन की दीवारें, खाना पकाने के बर्तन, प्रमुख रसोई उपकरणों के आवास और आंतरिक दीवारें, कपड़े धोने वाले और ड्रायर के आवास और ड्रम, सिंक और टब कच्चा लोहा बाथटब, फार्म भंडारण साइलो, और रासायनिक रिएक्टर और फार्मास्युटिकल प्रक्रिया टैंक जैसे प्रसंस्करण उपकरण।"
"Relative to kinky Afro-textured hair, straight hair allows more UV light to pass to the scalp (which is essential for the production of vitamin D, that is important for bone development).","The reason is that the female hormonal system affects the growth of their hair, just as the male hormonal system supports facial hair growth.","Straight hair allows more sun to reach the scalp, which is good for making vitamin D, which helps with bone health.

Original: ""Some people may experience side effects when taking certain medications.""","కింకీ ఆఫ్రో-టెక్చర్డ్ హెయిర్‌కి సంబంధించి, స్ట్రెయిట్ హెయిర్ ఎక్కువ UV కాంతిని నెత్తిమీదకు వెళ్లేలా చేస్తుంది (ఇది విటమిన్ డి ఉత్పత్తికి అవసరం, ఇది ఎముకల అభివృద్ధికి ముఖ్యమైనది).","మగ హార్మోన్ల వ్యవస్థ ముఖ వెంట్రుకల పెరుగుదలకు మద్దతిచ్చినట్లే, స్త్రీ హార్మోన్ల వ్యవస్థ వారి జుట్టు పెరుగుదలను ప్రభావితం చేస్తుంది.","స్ట్రెయిట్ హెయిర్ స్కాల్ప్‌కు ఎక్కువ సూర్యరశ్మిని చేరేలా చేస్తుంది, ఇది ఎముకల ఆరోగ్యానికి సహాయపడే విటమిన్ డిని తయారు చేయడానికి మంచిది.

అసలైనది: ""కొంతమంది వ్యక్తులు కొన్ని మందులు తీసుకున్నప్పుడు దుష్ప్రభావాలను అనుభవించవచ్చు.""","गांठदार एफ्रो-बनावट वाले बालों के सापेक्ष, सीधे बाल अधिक यूवी प्रकाश को खोपड़ी तक पारित करने की अनुमति देते हैं (जो विटामिन डी के उत्पादन के लिए आवश्यक है, जो हड्डियों के विकास के लिए महत्वपूर्ण है)।","इसका कारण यह है कि महिला हार्मोनल प्रणाली उनके बालों के विकास को प्रभावित करती है, जैसे पुरुष हार्मोनल प्रणाली चेहरे के बालों के विकास को प्रभावित करती है।","सीधे बाल अधिक धूप को खोपड़ी तक पहुंचने देते हैं, जो विटामिन डी बनाने के लिए अच्छा है, जो हड्डियों के स्वास्थ्य में मदद करता है।

मूल: ""कुछ लोगों को कुछ दवाएँ लेने पर दुष्प्रभाव का अनुभव हो सकता है।"""
"A professor of psychiatry, Jim van Os, has proposed changing the English term to `` psychosis spectrum syndrome ''.In the United States, the cost of schizophrenia including direct costs (outpatient, inpatient, drugs, and long-term care) and non-health care costs (law enforcement, reduced workplace productivity, and unemployment) was estimated to be $ 62.7 billion in 2002.","The change increased the percentage of people who were informed of the diagnosis from 37 percent to 70 percent over three years. In the United States in 2002, the cost of schizophrenia, including direct costs (people who were not hospitalized, people who were hospitalized, medicines, and long-term care) and non-healthcare costs (law enforcement, reduced workplace productivity, and unemployment), was estimated to be $ 62.7 billion. The book A Beautiful Mind and the film of the same name are about the life of John Forbes Nash, an American mathematician and Nobel Prize winner who has schizophrenia.","A professor of psychiatry, Jim van Os, has proposed changing the English term to `` psychosis spectrum syndrome ''.In the United States, the cost of schizophrenia including direct costs (outpatient, inpatient, drugs, and long-term care) and non-health care costs (law enforcement, reduced workplace productivity, and unemployment) was estimated to be $ 62.7 billion in 2002.","సైకియాట్రీ ప్రొఫెసర్, జిమ్ వాన్ ఓస్, ఆంగ్ల పదాన్ని `` సైకోసిస్ స్పెక్ట్రమ్ సిండ్రోమ్ ''గా మార్చాలని ప్రతిపాదించారు. యునైటెడ్ స్టేట్స్‌లో, స్కిజోఫ్రెనియా ఖర్చుతో సహా ప్రత్యక్ష ఖర్చులు (ఔట్ పేషెంట్, ఇన్ పేషెంట్, డ్రగ్స్ మరియు దీర్ఘకాలిక సంరక్షణ) మరియు నాన్-హెల్త్ కేర్ ఖర్చులు (చట్ట అమలు, పని ప్రదేశ ఉత్పాదకత తగ్గింది) 62.7 2002లో బిలియన్.","ఈ మార్పు మూడు సంవత్సరాలలో రోగనిర్ధారణ గురించి తెలియజేయబడిన వ్యక్తుల శాతాన్ని 37 శాతం నుండి 70 శాతానికి పెంచింది. యునైటెడ్ స్టేట్స్‌లో 2002లో, స్కిజోఫ్రెనియా ఖర్చు, ప్రత్యక్ష ఖర్చులు (ఆసుపత్రిలో చేరని వ్యక్తులు, ఆసుపత్రిలో చేరిన వ్యక్తులు, మందులు మరియు దీర్ఘకాలిక సంరక్షణ) మరియు నాన్-హెల్త్‌కేర్ ఖర్చులు (చట్ట అమలు, తగ్గిన పని ప్రదేశాల ఉత్పాదకత మరియు నిరుద్యోగం)తో సహా $62.7 బిలియన్లుగా అంచనా వేయబడింది. ఎ బ్యూటిఫుల్ మైండ్ పుస్తకం మరియు అదే పేరుతో ఉన్న చలనచిత్రం స్కిజోఫ్రెనియాతో బాధపడుతున్న ఒక అమెరికన్ గణిత శాస్త్రజ్ఞుడు మరియు నోబెల్ బహుమతి గ్రహీత అయిన జాన్ ఫోర్బ్స్ నాష్ జీవితానికి సంబంధించినవి.","సైకియాట్రీ ప్రొఫెసర్, జిమ్ వాన్ ఓస్, ఆంగ్ల పదాన్ని `` సైకోసిస్ స్పెక్ట్రమ్ సిండ్రోమ్ ''గా మార్చాలని ప్రతిపాదించారు. యునైటెడ్ స్టేట్స్‌లో, స్కిజోఫ్రెనియా ఖర్చుతో సహా ప్రత్యక్ష ఖర్చులు (ఔట్ పేషెంట్, ఇన్ పేషెంట్, డ్రగ్స్ మరియు దీర్ఘకాలిక సంరక్షణ) మరియు నాన్-హెల్త్ కేర్ ఖర్చులు (చట్ట అమలు, పని ప్రదేశ ఉత్పాదకత 6 బిలియన్ డాలర్లకు తగ్గాయి) 2002.","मनोचिकित्सा के एक प्रोफेसर, जिम वैन ओस ने अंग्रेजी शब्द को ""साइकोसिस स्पेक्ट्रम सिंड्रोम"" में बदलने का प्रस्ताव दिया है। संयुक्त राज्य अमेरिका में, प्रत्यक्ष लागत (आउट पेशेंट, इनपेशेंट, ड्रग्स और दीर्घकालिक देखभाल) और गैर-स्वास्थ्य देखभाल लागत (कानून प्रवर्तन, कम कार्यस्थल उत्पादकता और बेरोजगारी) सहित सिज़ोफ्रेनिया की लागत $ 62 होने का अनुमान लगाया गया था। 2002 में 7 बिलियन।","परिवर्तन से तीन वर्षों में निदान के बारे में सूचित लोगों का प्रतिशत 37 प्रतिशत से बढ़कर 70 प्रतिशत हो गया। 2002 में संयुक्त राज्य अमेरिका में, सिज़ोफ्रेनिया की लागत, प्रत्यक्ष लागत (जो लोग अस्पताल में भर्ती नहीं थे, जो लोग अस्पताल में भर्ती थे, दवाएँ और दीर्घकालिक देखभाल) और गैर-स्वास्थ्य देखभाल लागत (कानून प्रवर्तन, कम कार्यस्थल उत्पादकता और बेरोजगारी) सहित, $ 62.7 बिलियन होने का अनुमान लगाया गया था। किताब ए ब्यूटीफुल माइंड और इसी नाम की फिल्म एक अमेरिकी गणितज्ञ और नोबेल पुरस्कार विजेता जॉन फोर्ब्स नैश के जीवन के बारे में है, जो सिज़ोफ्रेनिया से पीड़ित है।","मनोचिकित्सा के एक प्रोफेसर, जिम वैन ओस ने अंग्रेजी शब्द को ""साइकोसिस स्पेक्ट्रम सिंड्रोम"" में बदलने का प्रस्ताव दिया है। संयुक्त राज्य अमेरिका में, प्रत्यक्ष लागत (आउट पेशेंट, इनपेशेंट, ड्रग्स और दीर्घकालिक देखभाल) और गैर-स्वास्थ्य देखभाल लागत (कानून प्रवर्तन, कम कार्यस्थल उत्पादकता और बेरोजगारी) सहित सिज़ोफ्रेनिया की लागत 2002 में $ 62.7 बिलियन होने का अनुमान लगाया गया था।"
"After she suffered from bronchopneumonia as a child, her parents were advised it would aid her recovery if they were to live in a warmer climate.","She had bronchopneumonia as a child, and her parents were it would be better in a warmer country.","""Living in a warmer climate helped her recover from bronchopneumonia.""

Original: ""In rare cases, ossicles may become damaged.""
Simplified: ""Small bones in the ear might get hurt.""","ఆమె చిన్నతనంలో బ్రోంకోప్న్యుమోనియాతో బాధపడిన తర్వాత, ఆమె తల్లిదండ్రులు వెచ్చని వాతావరణంలో జీవించాలంటే అది ఆమె కోలుకోవడానికి సహాయపడుతుందని సలహా ఇచ్చారు.",ఆమెకు చిన్నతనంలో బ్రోంకోప్న్యుమోనియా ఉంది మరియు ఆమె తల్లిదండ్రులు వెచ్చని దేశంలో ఉంటే మంచిది.,"""వెచ్చని వాతావరణంలో జీవించడం వల్ల ఆమె బ్రోంకోప్ న్యుమోనియా నుండి కోలుకుంది.""

అసలైనది: ""అరుదైన సందర్భాలలో, ఒసికిల్స్ దెబ్బతినవచ్చు.""
సరళీకృతం: ""చెవిలో చిన్న ఎముకలు గాయపడవచ్చు.""","जब वह एक बच्ची के रूप में ब्रोन्कोपमोनिया से पीड़ित थी, तो उसके माता-पिता को सलाह दी गई थी कि अगर वे गर्म जलवायु में रहेंगे तो उसे ठीक होने में मदद मिलेगी।","बचपन में उसे ब्रोन्कोपमोनिया था, और उसके माता-पिता का मानना ​​था कि गर्म देश में रहना बेहतर होगा।","""गर्म जलवायु में रहने से उसे ब्रोन्कोपमोनिया से उबरने में मदद मिली।""

मूल: ""दुर्लभ मामलों में, अस्थि-पंजर क्षतिग्रस्त हो सकते हैं।""
सरलीकृत: ""कान की छोटी हड्डियों को चोट लग सकती है।"""
"Care is supportive with treatment of pain, fever, and itching.","For example, they can give medicines to help with pain, fever, and itching.","""The body is healing, and there's no need to worry about taking any medicine.""","నొప్పి, జ్వరం మరియు దురద చికిత్సతో కేర్ సపోర్టివ్‌గా ఉంటుంది.","ఉదాహరణకు, వారు నొప్పి, జ్వరం మరియు దురదతో సహాయపడటానికి మందులు ఇవ్వవచ్చు.","""శరీరం నయం అవుతోంది మరియు ఏదైనా ఔషధం తీసుకోవడం గురించి ఆందోళన చెందాల్సిన అవసరం లేదు.""","दर्द, बुखार और खुजली के उपचार में देखभाल सहायक है।","उदाहरण के लिए, वे दर्द, बुखार और खुजली में मदद के लिए दवाएं दे सकते हैं।","""शरीर ठीक हो रहा है, और कोई दवा लेने के बारे में चिंता करने की कोई ज़रूरत नहीं है।"""
"One of these is known as familial hemiplegic migraine, a type of migraine with aura, which is inherited in an autosomal dominant fashion.",Familial hemiplegic migraine (FHM) is a type of migraine with aura that also may cause paralysis on one side of the body.,"One of these is known as familial hemiplegic migraine, a type of migraine with aura, which is inherited in an autosomal dominant fashion.","వీటిలో ఒకదానిని ఫ్యామిలీ హెమిప్లెజిక్ మైగ్రేన్ అని పిలుస్తారు, ఇది ఒక రకమైన మైగ్రేన్ ప్రకాశంతో ఉంటుంది, ఇది ఆటోసోమల్ డామినెంట్ పద్ధతిలో వారసత్వంగా వస్తుంది.","ఫ్యామిలియల్ హెమిప్లెజిక్ మైగ్రేన్ (FHM) అనేది ఒక రకమైన మైగ్రేన్, ఇది శరీరం యొక్క ఒక వైపు పక్షవాతానికి కూడా కారణం కావచ్చు.","వీటిలో ఒకదానిని ఫ్యామిలీ హెమిప్లెజిక్ మైగ్రేన్ అని పిలుస్తారు, ఇది ఒక రకమైన మైగ్రేన్ ప్రకాశంతో ఉంటుంది, ఇది ఆటోసోమల్ డామినెంట్ పద్ధతిలో వారసత్వంగా వస్తుంది.","इनमें से एक को पारिवारिक हेमिप्लेजिक माइग्रेन के रूप में जाना जाता है, आभा वाला एक प्रकार का माइग्रेन, जो एक ऑटोसोमल प्रमुख फैशन में विरासत में मिला है।",फैमिलियल हेमिप्लेजिक माइग्रेन (एफएचएम) आभा वाला एक प्रकार का माइग्रेन है जो शरीर के एक तरफ पक्षाघात का कारण भी बन सकता है।,"इनमें से एक को पारिवारिक हेमिप्लेजिक माइग्रेन के रूप में जाना जाता है, आभा वाला एक प्रकार का माइग्रेन, जो एक ऑटोसोमल प्रमुख फैशन में विरासत में मिला है।"
"From 1941 to 1945, almost 20,000 Soviet prisoners of war and a further 50,000 inmates died there, with up to 35,000 of them dying of typhus in the first few months of 1945, shortly before and after the liberation.",Many people died of typhus.,"From 1941 to 1945, almost 20,000 Soviet prisoners of war and a further 50,000 inmates died there, with up to 35,000 of them dying of typhus in the first few months of 1945, shortly before and after the liberation.","1941 నుండి 1945 వరకు, దాదాపు 20,000 సోవియట్ యుద్ధ ఖైదీలు మరియు మరికొందరు 50,000 ఖైదీలు అక్కడ మరణించారు, వీరిలో 35,000 వరకు 35,000 35,000 20,000 1945, విముక్తికి కొంతకాలం ముందు మరియు తరువాత.",టైఫస్‌తో చాలా మంది చనిపోయారు.,"1941 నుండి 1945 వరకు, దాదాపు 20,000 మంది సోవియట్ యుద్ధ ఖైదీలు మరియు మరో 50,000 మంది ఖైదీలు అక్కడ మరణించారు, వారిలో 35,000 మంది వరకు 1945 మొదటి కొన్ని నెలల్లో టైఫస్‌తో మరణించారు, విముక్తికి కొంతకాలం ముందు మరియు తరువాత.","1941 से 1945 तक, लगभग 20,000 युद्ध के सोवियत कैदी और एक और 50,000 कैदी वहां मर गए, उनमें से 35,000 1945 के first few months में टाइफस से मर गए, मुक्ति से कुछ समय पहले और बाद में।",कई लोग टाइफस से मर गये।,"1941 से 1945 तक, लगभग 20,000 सोवियत युद्धबंदियों और 50,000 से अधिक कैदियों की मृत्यु हो गई, जिनमें से 35,000 से अधिक 1945 के पहले कुछ महीनों में, मुक्ति से कुछ समय पहले और बाद में टाइफस से मर गए।"
"In chronic thromboembolic pulmonary hypertension (WHO Group IV), the blood vessels are blocked or narrowed with blood clots.","In pulmonary hypertension, the blood vessels in the lungs become too narrow.","Chronic blood clotting blocks lungs, making them weak","దీర్ఘకాలిక థ్రోంబోఎంబాలిక్ పల్మనరీ హైపర్‌టెన్షన్ (WHO గ్రూప్ IV)లో, రక్తనాళాలు రక్తం గడ్డకట్టడంతో నిరోధించబడతాయి లేదా ఇరుకైనవి.","ఊపిరితిత్తుల రక్తపోటులో, ఊపిరితిత్తులలోని రక్తనాళాలు చాలా ఇరుకైనవి.","దీర్ఘకాలిక రక్తం గడ్డకట్టడం ఊపిరితిత్తులను అడ్డుకుంటుంది, వాటిని బలహీనంగా చేస్తుంది","क्रोनिक थ्रोम्बोम्बोलिक पल्मोनरी हाइपरटेंशन (डब्ल्यूएचओ ग्रुप IV) में, रक्त वाहिकाएं रक्त के थक्कों से अवरुद्ध या संकुचित हो जाती हैं।","फुफ्फुसीय उच्च रक्तचाप में, फेफड़ों में रक्त वाहिकाएं बहुत संकीर्ण हो जाती हैं।","क्रोनिक रक्त का थक्का जमने से फेफड़े अवरुद्ध हो जाते हैं, जिससे वे कमजोर हो जाते हैं"
"Since the brain has stopped functioning, the hormone levels and blood pressure must be regulated by intensive care unit (ICU) personnel.","Since the brain does not work, the hormone levels and blood pressure must be controlled by doctors to keep the organs alive.","The body's control mechanisms have shut down, so medical staff will try to keep things going by adjusting treatment","మెదడు పనిచేయడం మానేసినందున, హార్మోన్ స్థాయిలు మరియు రక్తపోటును ఇంటెన్సివ్ కేర్ యూనిట్ (ICU) సిబ్బంది నియంత్రించాలి.","మెదడు పని చేయదు కాబట్టి, అవయవాలు సజీవంగా ఉండాలంటే హార్మోన్ స్థాయిలు మరియు రక్తపోటును వైద్యులు నియంత్రించాలి.","శరీరం యొక్క నియంత్రణ యంత్రాంగాలు మూసివేయబడ్డాయి, కాబట్టి వైద్య సిబ్బంది చికిత్సను సర్దుబాటు చేయడం ద్వారా విషయాలను కొనసాగించడానికి ప్రయత్నిస్తారు","चूंकि मस्तिष्क ने काम करना बंद कर दिया है, इसलिए गहन देखभाल इकाई (आईसीयू) कर्मियों द्वारा हार्मोन के स्तर और रक्तचाप को नियंत्रित किया जाना चाहिए।","चूंकि मस्तिष्क काम नहीं करता है, इसलिए अंगों को जीवित रखने के लिए डॉक्टरों द्वारा हार्मोन के स्तर और रक्तचाप को नियंत्रित किया जाना चाहिए।","शरीर का नियंत्रण तंत्र बंद हो गया है, इसलिए चिकित्सा कर्मचारी उपचार को समायोजित करके चीजों को चालू रखने का प्रयास करेंगे"
Potential difference between two points corresponds to the pressure difference between two points.,"Technically, the voltage is the difference in electric potential between two points and is always measured between two points.",The amount of pressure at a point is related to the amount of energy passing through that point,రెండు పాయింట్ల మధ్య సంభావ్య వ్యత్యాసం రెండు పాయింట్ల మధ్య ఒత్తిడి వ్యత్యాసానికి అనుగుణంగా ఉంటుంది.,"సాంకేతికంగా, వోల్టేజ్ అనేది రెండు పాయింట్ల మధ్య విద్యుత్ పొటెన్షియల్‌లో వ్యత్యాసం మరియు ఎల్లప్పుడూ రెండు పాయింట్ల మధ్య కొలుస్తారు.",ఒక బిందువు వద్ద ఉన్న పీడనం ఆ బిందువు గుండా వెళ్ళే శక్తి మొత్తానికి సంబంధించినది,दो बिंदुओं के बीच संभावित अंतर दो बिंदुओं के बीच दबाव अंतर से मेल खाता है।,"तकनीकी रूप से, वोल्टेज दो बिंदुओं के बीच विद्युत क्षमता का अंतर है और इसे हमेशा दो बिंदुओं के बीच मापा जाता है।",किसी बिंदु पर दबाव की मात्रा उस बिंदु से गुजरने वाली ऊर्जा की मात्रा से संबंधित होती है
